"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"130","MI","51",2021-02-08,"N1",0.0409612621111111,731451.109126984,665432.105247401,10023209281661.4,9118538710798.93
"131","NO","51",2021-02-08,"N1",0.0815284871111111,1455865.84126984,1265205.10794355,27169472133012.3,23611347933566.8
"132","CC","52",2021-02-10,"N2",0.018759783,334996.125,288052.876312537,2561557316703.23,2202604441814.93
"133","MI","52",2021-02-10,"N1",0.045022992,803982,1386351.77662952,10864943364353.4,18735038267213.1
"134","NO","52",2021-02-10,"N2",0.00445382477777778,79532.5853174603,131568.58288583,1670902113015.45,2764127712847.27
"135","CC","53",2021-02-15,"N1",0.0310273182222222,554059.253968254,478958.543194834,4760965070080.21,4115633621919.01
"136","MI","53",2021-02-15,"N2",0.00484432577777778,86505.8174603175,143646.575250231,1437549340614.1,2387111590814.92
"137","NO","53",2021-02-15,"N1",2e-04,3571.42857142857,0,85171725000,0
"138","CC","54",2021-02-17,"N1",0.0564472987777778,1007987.4781746,1029438.21392375,9653584075785.02,9859019644703.84
"139","MI","54",2021-02-17,"N1",0.0463729827777778,828088.978174603,1428106.28764489,15046350234585.2,25948645547106.5
"140","NO","54",2021-02-17,"N1",0.0345851765555556,617592.438492063,539350.517699855,24149893321477.9,21090377170320.1
"141","CC","55",2021-02-22,"N1",0.0144533344444444,258095.257936508,440848.204197309,1944222776987.42,3320894489294.56
"142","MI","55",2021-02-22,"N2",0.0265539754444444,474178.132936508,270089.14442343,7054187479562.8,4018024722394.16
"143","NO","55",2021-02-22,"N1",0.141916542333333,2534223.9702381,3461520.42063355,50459583753281.5,68923221321374.6
"144","CC","56",2021-02-24,"N1",0.0899152258888889,1605629.03373016,1432141.72757264,11730470907104.9,10463000180753.6
"145","MI","56",2021-02-24,"N2",0.004535668,80994.0714285714,134099.951084831,1131338383648.52,1873129961634.95
"146","NO","56",2021-02-24,"N1",2e-04,3571.42857142857,0,76113779642.8571,0
"147","CC","57",2021-03-01,"N1",2e-04,3571.42857142857,0,25010744642.8571,0
"148","MI","57",2021-03-01,"N1",2e-04,3571.42857142857,0,50291875714.2857,0
"149","NO","57",2021-03-01,"N1",0.0310055083333333,553669.791666667,952798.314041425,14126144699331.5,24309375472540.4
"150","CC","58",2021-03-03,"N2",0.00523230044444444,93433.9365079365,155646.429441593,650781793977.574,1084101412869.4
"151","MI","58",2021-03-03,"N2",0.0258130836666667,460947.922619048,189619.105955594,6682878434166.04,2749120609322.65
"152","NO","58",2021-03-03,"N1",0.0240911878888889,430199.783730159,738941.98708446,11855353061042.3,20363604259757.9
"153","CC","59",2021-03-08,"N2",0.00498796766666667,89070.8511904762,148089.343993994,586675262000.596,975407257548.052
"154","MI","59",2021-03-08,"N2",0.00471603255555555,84214.8670634921,139678.53276531,1109381543759.23,1840016991208.66
"155","NO","59",2021-03-08,"N1",0.0316283368888889,564791.73015873,490178.944682806,10711220998933.4,9296196677748.63
"156","CC","60",2021-03-10,"N2",0.00466961833333333,83386.0416666667,138242.965067405,530292598055.5,879154588024.951
"157","MI","60",2021-03-10,"N1",0.151074193444444,2697753.45436508,1207099.68490547,35742360162908.4,15992785263833.1
"158","NO","60",2021-03-10,"N2",0.0144840072222222,258642.986111111,220968.476997564,6363953349356.6,5436965836323.77
"159","CC","61",2021-03-15,"N1",2e-04,3571.42857142857,0,22442073571.4286,0
"160","MI","61",2021-03-15,"N1",2e-04,3571.42857142857,0,47182431785.7143,0
"161","NO","61",2021-03-15,"N1",2e-04,3571.42857142857,0,68137380000,0
"162","CC","62",2021-03-17,"N1",2e-04,3571.42857142857,0,33257530714.2857,0
"163","MI","62",2021-03-17,"N1",2e-04,3571.42857142857,0,72463562857.1429,0
"164","NO","62",2021-03-17,"N1",2e-04,3571.42857142857,0,91796192500,0
"165","CC","63",2021-03-22,"N1",2e-04,3571.42857142857,0,27038642857.1429,0
"166","MI","63",2021-03-22,"N1",0.0148282051111111,264789.376984127,452442.7584997,3778808060346.16,6456808661045.35
"167","NO","63",2021-03-22,"N1",2e-04,3571.42857142857,0,69759698571.4286,0
"168","CC","64",2021-03-24,"N1",2e-04,3571.42857142857,0,24334778571.4286,0
"169","MI","64",2021-03-24,"N2",0.00458320044444444,81842.8650793651,135570.104813148,1121507855638.29,1857742118267.87
"170","NO","64",2021-03-24,"N1",0.0147527613333333,263442.166666667,450109.321781377,5335215874850.92,9115588553539.77
"171","CC","65",2021-03-29,"N1",0.0537991489444444,960699.088293651,1106103.56776945,7309646270993.51,8415981568005.03
"172","MI","65",2021-03-29,"N1",0.0145742195,260253.919642857,397775.505341843,3911116126122.41,5977801201433.99
"173","NO","65",2021-03-29,"N1",2e-04,3571.42857142857,0,74761847500,0
"174","CC","66",2021-03-31,"N1",0.0407462378333333,727611.389880952,1038330.29283515,5370899491170.05,7664486453912.18
"175","MI","66",2021-03-31,"N2",0.00235061677777778,41975.2996031746,94069.88817543,626041252351.162,1403006795868.73
"176","NO","66",2021-03-31,"N1",0.0274828118888889,490764.498015873,570455.262851336,9883202540470.29,11488045540846.4
