run_date,run_num,sample_date,collection_num,target,sample_id,ct,slope ,y-intercept,copy_num_uL_rxn,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_F,37.22,-3.5293,36.046,0.464365176,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_F,36.27,-3.5293,36.046,0.865541608,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_F,37.28,-3.5293,36.046,0.447422725,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_F,36.89,-3.5293,36.046,0.576995682,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_A,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_A,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_A,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_A,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_A,37.2554405,-3.5293,36.046,0.454270296,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_A,38.30589521,-3.5293,36.046,0.228915963,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_A,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_A,38.29000736,-3.5293,36.046,0.231301144,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_A,39.22408976,-3.5293,36.046,0.125751369,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_B,38.27990689,-3.5293,36.046,0.232830393,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_B,38.24240847,-3.5293,36.046,0.23859677,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_B,38.32611743,-3.5293,36.046,0.225915625,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_B,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_B,37.33736099,-3.5293,36.046,0.430628529,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_B,37.10951161,-3.5293,36.046,0.499645715,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_B,36.1899678,-3.5293,36.046,0.910348817,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_B,36.1993657,-3.5293,36.046,0.904784203,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_B,37.13772386,-3.5293,36.046,0.490533242,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_C,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_C,38.08102589,-3.5293,36.046,0.265088612,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_C,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_C,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_C,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_C,38.20668298,-3.5293,36.046,0.244223304,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_C,37.19981162,-3.5293,36.046,0.471060138,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_C,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_C,37.08485404,-3.5293,36.046,0.507748561,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_D,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_D,37.18868797,-3.5293,36.046,0.474491191,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_D,38.09004449,-3.5293,36.046,0.263533434,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_D,37.16452322,-3.5293,36.046,0.482031091,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_D,38.27477425,-3.5293,36.046,0.233611364,,,
25-Jul-21,109,21-Jul-21,98,N1,CC_98_D,36.54535357,-3.5293,36.046,0.721958125,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_E,37.33131656,-3.5293,36.046,0.432330068,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_E,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,NO_98_E,Undetermined,-3.5293,36.046,0.004,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_E,35.81881997,-3.5293,36.046,1.15976424,,,
25-Jul-21,109,21-Jul-21,98,N1,MI_98_E,37.2073845,-3.5293,36.046,0.468738512,,,
