sample_id,target,ct
CC_33_B,N2,40
CC_33_B,N2,40
CC_33_B,N2,40
NO_33_C,N2,40
NO_33_C,N2,40
NO_33_C,N2,40
CC_33_C,N2,40
CC_33_C,N2,40
CC_33_C,N2,40
MI_33_A,N2,40
MI_33_B,N2,40
MI_33_B,N2,40
MI_33_B,N2,40
MI_33_C,N2,40
MI_33_C,N2,40
MI_33_C,N2,40
MI_34_A,N2,35.08401108
NO_34_A,N2,35.94485855
MI_34_A,N2,37.05321121
NO_34_A,N2,40
NO_34_A,N2,40
CC_34_A,N2,40
CC_34_A,N2,40
CC_34_A,N2,40
NO_34_B,N2,40
NO_34_B,N2,40
NO_34_B,N2,40
CC_34_B,N2,40
CC_34_B,N2,40
CC_34_B,N2,40
NO_34_C,N2,40
NO_34_C,N2,40
NO_34_C,N2,40
CC_34_C,N2,40
CC_34_C,N2,40
CC_34_C,N2,40
MI_34_A,N2,40
MI_34_B,N2,40
MI_34_B,N2,40
MI_34_B,N2,40
MI_34_C,N2,40
MI_34_C,N2,40
MI_34_C,N2,40
MI_35_B,N2,34.80414581
MI_35_A,N2,35.47654343
MI_35_B,N2,35.72949219
NO_35_C,N2,35.75287628
CC_35_C,N2,36.08492279
NO_35_B,N2,36.77748871
NO_35_A,N2,37.04984665
NO_35_A,N2,40
NO_35_A,N2,40
CC_35_A,N2,40
CC_35_A,N2,40
CC_35_A,N2,40
NO_35_B,N2,40
NO_35_B,N2,40
CC_35_B,N2,40
CC_35_B,N2,40
CC_35_B,N2,40
NO_35_C,N2,40
NO_35_C,N2,40
CC_35_C,N2,40
CC_35_C,N2,40
MI_35_A,N2,40
MI_35_A,N2,40
MI_35_B,N2,40
MI_35_C,N2,40
MI_35_C,N2,40
MI_35_C,N2,40
MI_36_B,N2,34.91175461
MI_36_B,N2,35.0657692
MI_36_A,N2,35.42285538
MI_36_A,N2,35.68432999
CC_36_A,N2,35.77574921
NO_36_B,N2,35.80426407
MI_36_C,N2,36.16288376
MI_36_C,N2,37.06927872
NO_36_A,N2,40
NO_36_A,N2,40
NO_36_A,N2,40
CC_36_A,N2,40
CC_36_A,N2,40
NO_36_B,N2,40
NO_36_B,N2,40
CC_36_B,N2,40
CC_36_B,N2,40
CC_36_B,N2,40
NO_36_C,N2,40
NO_36_C,N2,40
NO_36_C,N2,40
CC_36_C,N2,40
CC_36_C,N2,40
CC_36_C,N2,40
MI_36_A,N2,40
MI_36_B,N2,40
MI_36_C,N2,40
CC_37_B,N2,35.71718597
NO_37_C,N2,35.917099
CC_37_A,N2,36.17475128
MI_37_B,N2,36.27376556
MI_37_B,N2,36.57956696
NO_37_B,N2,36.9670105
MI_37_A,N2,38.48373795
NO_37_A,N2,40
NO_37_A,N2,40
NO_37_A,N2,40
CC_37_A,N2,40
CC_37_A,N2,40
NO_37_B,N2,40
NO_37_B,N2,40
CC_37_B,N2,40
CC_37_B,N2,40
NO_37_C,N2,40
NO_37_C,N2,40
CC_37_C,N2,40
CC_37_C,N2,40
CC_37_C,N2,40
MI_37_A,N2,40
MI_37_A,N2,40
MI_37_B,N2,40
MI_37_C,N2,40
MI_37_C,N2,40
MI_37_C,N2,40
CC_38_A,N2,33.53656006
MI_38_C,N2,33.88128662
MI_38_A,N2,33.97262955
NO_38_A,N2,34.12199402
NO_38_B,N2,34.28877258
MI_38_A,N2,34.28942871
NO_38_B,N2,34.31031418
CC_38_B,N2,34.79067993
CC_38_C,N2,34.97597122
MI_38_B,N2,35.00706863
CC_38_A,N2,35.22649002
CC_38_B,N2,35.24396515
CC_38_C,N2,35.35208893
NO_38_B,N2,35.6652832
CC_38_A,N2,40
