run_date,run_num,sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
28-Oct-20,37,4-Aug-20,12,CC_12_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,4-Aug-20,12,CC_12_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,4-Aug-20,12,CC_12_B,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,NO_12_B,N2,37.08876419,-3.3084,32.416,0.038690651
13-Aug-20,21,11-Aug-20,13,MI_13_A,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,MI_13_A,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,MI_13_A,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,MI_13_B,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,MI_13_B,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,MI_13_B,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,NO_13_A,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,NO_13_A,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,NO_13_A,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,NO_13_B,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,NO_13_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,11-Aug-20,13,CC_13_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,11-Aug-20,13,CC_13_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,11-Aug-20,13,CC_13_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,11-Aug-20,13,CC_13_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,11-Aug-20,13,CC_13_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,11-Aug-20,13,CC_13_B,N2,Undetermined,-3.3084,32.416,0.0002
13-Aug-20,21,11-Aug-20,13,NO_13_B,N2,36.81105423,-3.3084,32.416,0.046940413
19-Aug-20,22,18-Aug-20,14,NO_14_A,N2,Undetermined,-3.3084,32.416,0.0002
19-Aug-20,22,18-Aug-20,14,NO_14_A,N2,Undetermined,-3.3084,32.416,0.0002
19-Aug-20,22,18-Aug-20,14,NO_14_B,N2,Undetermined,-3.3084,32.416,0.0002
19-Aug-20,22,18-Aug-20,14,MI_14_A,N2,Undetermined,-3.3084,32.416,0.0002
19-Aug-20,22,18-Aug-20,14,MI_14_A,N2,Undetermined,-3.3084,32.416,0.0002
19-Aug-20,22,18-Aug-20,14,MI_14_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,18-Aug-20,14,CC_14_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,18-Aug-20,14,CC_14_A,N2,Undetermined,-3.3084,32.416,0.0002
