run_date,run_num,sample_date,collection_num,target,sample_id,ct,slope ,y-intercept,copy_num_uL_rxn
16-Jul-21,107,14-Jul-21,96,N2,CC_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_F,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_F,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_A,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_A,39.16,-3.2505,37.731,0.363902043
20-Jul-21,108,19-Jul-21,97,N2,NO_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_B,38.28,-3.2505,37.731,0.678497001
20-Jul-21,108,19-Jul-21,97,N2,CC_97_B,38.32,-3.2505,37.731,0.66051459
20-Jul-21,108,19-Jul-21,97,N2,CC_97_B,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_C,39.78,-3.2505,37.731,0.23405678
20-Jul-21,108,19-Jul-21,97,N2,NO_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_C,38.82,-3.2505,37.731,0.46104829
20-Jul-21,108,19-Jul-21,97,N2,CC_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_C,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_D,39.71,-3.2505,37.731,0.245681393
20-Jul-21,108,19-Jul-21,97,N2,CC_97_D,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_E,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_E,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_E,38.88,-3.2505,37.731,0.441963318
20-Jul-21,108,19-Jul-21,97,N2,MI_97_E,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_E,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_E,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_E,39.18,-3.2505,37.731,0.357809014
20-Jul-21,108,19-Jul-21,97,N2,CC_97_E,39.68,-3.2505,37.731,0.252173278
20-Jul-21,108,19-Jul-21,97,N2,CC_97_E,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_F,39.63,-3.2505,37.731,0.260582975
20-Jul-21,108,19-Jul-21,97,N2,NO_97_F,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,NO_97_F,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_F,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_F,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,MI_97_F,Undetermined,-3.2505,37.731,0.004
20-Jul-21,108,19-Jul-21,97,N2,CC_97_F,39.11,-3.2505,37.731,0.377636599
20-Jul-21,108,19-Jul-21,97,N2,CC_97_F,38.96,-3.2505,37.731,0.418742827
20-Jul-21,108,19-Jul-21,97,N2,CC_97_F,39.54,-3.2505,37.731,0.277974489
25-Jul-21,109,21-Jul-21,98,N2,NO_98_A,39.53115352,-3.2505,37.731,0.279377748
