collection_num,sample_id,target,ct,cg_num
,83,,,
,84,,,
,85,,,
,86,,,
,NO_87_B,BCoV,31.68759918,
,NO_87_B,BCoV,31.72482872,
,NO_87_B,BCoV,32.27974319,
,MI_87_B,BCoV,31.340065,
,MI_87_B,BCoV,31.42361069,
,MI_87_B,BCoV,31.37388992,
,CC_87_B,BCoV,31.55182648,
,CC_87_B,BCoV,31.74213219,
,CC_87_B,BCoV,32.66141129,
,NO_88_B,BCoV,32.56271744,
,NO_88_B,BCoV,32.56271744,
,NO_88_B,BCoV,32.56271744,
,MI_88_B,BCoV,32.79502487,
,MI_88_B,BCoV,32.79502487,
,MI_88_B,BCoV,32.79502487,
,CC_88_B,BCoV,32.99010086,
,CC_88_B,BCoV,32.99010086,
,CC_88_B,BCoV,32.99010086,
,NO_89_B,BCoV,Undetermined,
,NO_89_B,BCoV,Undetermined,
,NO_89_B,BCoV,Undetermined,
,MI_89_B,BCoV,Undetermined,
,MI_89_B,BCoV,Undetermined,
,MI_89_B,BCoV,Undetermined,
,CC_89_B,BCoV,Undetermined,
,CC_89_B,BCoV,Undetermined,
,CC_89_B,BCoV,Undetermined,
,NO_90_B,BCoV,31.82345772,
,NO_90_B,BCoV,31.83027649,
,NO_90_B,BCoV,31.52444077,
,MI_90_B,BCoV,32.89857101,
,MI_90_B,BCoV,32.87804031,
,MI_90_B,BCoV,32.41646576,
,CC_90_B,BCoV,34.05509186,
,CC_90_B,BCoV,33.6725502,
,CC_90_B,BCoV,33.18761063,
,NO_91_B,BCoV,31.97899818,
,NO_91_B,BCoV,31.79003906,
,NO_91_B,BCoV,31.35144997,
,NO_92_B,BCoV,30.41728973,
,NO_92_B,BCoV,30.47772026,
,NO_92_B,BCoV,30.35132408,
,MI_92_B,BCoV,30.40011597,
,MI_92_B,BCoV,30.36236954,
,MI_92_B,BCoV,30.30732918,
,CC_92_B,BCoV,30.61870766,
,CC_92_B,BCoV,30.65287971,
,CC_92_B,BCoV,30.26276016,
